benchmark	path	run	metric	value_ms	status
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolSemicolonSpan_lower	0.293	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolDefEqualsSpan_lower	0.295	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_valueModuleSpan_lower	0.272	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_valueExportMainSpan_lower	0.283	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_valueImportModuleSpan_lower	0.298	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_valueImportIntSpan_lower	0.279	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_valueFirstDefSemicolonSpan_lower	0.306	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_valueDefTwoSpan_lower	0.270	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_valueDefMainSpan_lower	0.277	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_letModuleSpan_lower	0.274	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_letExportMainSpan_lower	0.276	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_letImportModuleSpan_lower	0.282	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_letImportIntSpan_lower	0.291	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_letInSpan_lower	0.264	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_letDefMainSpan_lower	0.278	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_typedModuleSpan_lower	0.289	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_typedExportMainSpan_lower	0.292	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_typedImportModuleSpan_lower	0.298	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_typedImportIntSpan_lower	0.286	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_typedLetForallSpan_lower	0.291	1
